item,US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T01,21125645,422322,121501,1091363,1208746,2977083,X,X,X,2789077,X,864858,X,X,60781,13225,1982,752820,648739,76050,41110,836498,7356,2194160,812497,28362,34022,312300,127,335207,408499,5014,86754,X,X,4636,X,X,21310,37234,2774,42450,X,X,X,X,1111956,32599,3358585,6900,103230,273518
T09,337098320,2912839,X,8358260,3573456,41539499,3375058,4589035,X,1597089,28006498,6250310,3808718,1908887,12013541,8087116,3404630,3334645,3984753,3739549,1613210,4888693,6834003,9613796,6205621,3731772,3732101,X,1966358,5500442,X,10846611,2863208,15372529,8376578,1053147,12692369,3071467,X,11747314,1120139,3463666,1144682,9469967,38123052,2832742,412300,5457799,16647080,1368000,5695550,770241
T10,6962674,218083,40778,78122,60210,353296,48172,64146,26610,7042,308922,198770,51913,9957,297250,52107,22248,146811,147700,75773,19974,32165,87121,169073,92848,41165,39726,37820,31425,45965,12836,145203,21000,263453,437538,8950,106994,138884,19205,430811,20727,185461,17571,222101,1372693,8347,28985,244877,389822,17924,62124,1976
T11,8485936,0,12621,2920,71900,X,124865,299273,X,X,215765,X,X,X,932478,590755,302652,290,214,698208,57060,1061486,133113,116256,89707,139035,366366,63172,5954,970309,548,266232,65264,2342,29,6245,274021,28555,X,1465201,X,41476,9005,X,32157,X,X,88,4675,35530,169,X
T12,23575076,403868,79833,590604,241403,2722787,314935,169524,113411,121417,1178214,510850,179690,105731,423518,256432,153428,405805,173129,900921,93517,556409,445445,435393,524654,353728,445800,108445,60722,424088,140500,522172,209920,1866069,577572,68568,607111,336441,80618,845210,117152,244412,90906,995376,2599025,155655,57765,554299,640136,129358,216754,26356
T13,50758023,605862,45703,885012,496131,7557711,676881,497860,142807,27935,2925122,1837954,87869,376941,1350508,1474857,665799,460037,720218,665311,256634,1140220,775463,1476484,935632,445239,725588,261331,391897,354108,185644,500197,239515,1721723,2099105,199322,1979815,573825,585869,3348366,75636,725758,189831,1167127,3743004,571499,126614,1083719,1697722,443423,1116530,120665
T14,130902,1298,X,184,2155,13435,508,5193,72,X,8616,X,X,971,5748,1662,3788,X,15003,5415,1369,1166,788,2292,1192,X,X,209,137,3,458,X,842,21430,X,1218,4999,1029,1795,9690,1145,X,130,X,6035,X,X,X,1615,2907,328,6077
T15,12547166,699664,4518,22432,X,712691,X,273076,51858,198173,1747862,X,126691,2371,1443634,223409,56212,392,56395,9444,20433,146303,X,37559,51,1676,X,43018,43379,53818,44805,978414,32792,885520,272,51670,793723,48069,14289,1255372,103042,29077,3236,7974,648614,56445,9020,531464,589724,124500,360211,3874
T16,18682664,174293,59677,309128,218651,1979149,189687,357525,122610,28546,1136716,223363,111803,50300,769476,404978,202021,125661,369501,161018,125978,356684,553261,887071,626533,138722,94865,77234,52862,182492,201332,625382,91489,1070667,292846,27382,919669,420769,250156,1303846,137322,28311,45760,245923,1410391,112090,68434,151287,397049,171224,599794,21736
T19,49733061,609993,35693,197126,256562,5355394,1258429,1532256,145233,80130,964361,488218,695450,65106,2298137,1489566,47087,50083,844319,144800,139558,1712805,728756,1609470,2693337,381606,144764,71867,26858,304398,433915,1954731,160274,6026782,1018953,147130,1746549,24613,918342,1734347,255344,522982,113543,245245,5970396,275224,462283,1401599,1005904,497669,442894,2980
T20,710385,3994,1298,8917,4870,66748,8260,9572,2440,8428,5601,4508,X,1716,18250,13319,18589,2759,10664,X,6702,1590,3830,19998,2711,1268,5617,3028,742,X,17665,4386,0,49089,27786,412,44287,257,5110,44970,89,14210,1214,1690,74627,5856,477,15096,164790,944,2011,X
T21,792038,X,0,X,933,22212,828,230,303,X,16000,X,X,222,16360,12272,29593,7541,316,X,571,1769,15863,X,1137,18116,28,4607,585,103982,339,51343,6492,X,177,1566,40683,180178,2845,209498,196,6166,5851,331,15543,X,23,110,12713,3913,603,X
T22,6641902,161298,X,39710,30138,80949,22167,31621,1560527,45096,241902,66937,1920,3447,355316,10234,52940,27635,117710,195847,10760,117506,27913,28408,9275,155657,3055,5435,6195,79606,71789,372335,34630,1303,842349,X,260233,58067,46382,4037,5057,112008,6268,1030934,154534,483,3664,64783,42722,798,25399,14923
T23,1709888,23599,37478,38256,26156,116030,99128,5583,4296,93,16780,35899,723,49447,35195,17990,30075,30185,31142,30012,16737,17389,5525,61179,68643,3309,32934,67757,18687,11356,12562,14027,32824,41418,33039,17002,36050,20232,54404,75622,1907,18429,29206,37611,109168,31841,7183,24729,41887,12547,86015,40602
T24,28094821,241157,37200,265264,168295,4868905,458234,243358,59061,38645,1474100,387076,195972,205568,1738986,348289,685933,229649,223126,78817,116964,516790,448837,1375049,847267,171469,306003,172071,110180,209538,84485,668735,205151,1416050,893598,120192,791912,753665,568049,1153788,29901,306718,84902,372253,2227727,233944,69334,427129,836075,5203,525370,98837
T25,2893283,41101,X,36419,22696,338008,41896,38712,6036,6467,165434,116455,303,10892,115614,254667,20887,32141,17142,14340,11557,32515,91503,60922,44352,16626,16587,7018,11432,25693,8169,58231,5154,145007,121878,5283,78896,30826,40559,82461,5141,5547,4762,60035,150995,21727,14860,140870,87780,182223,41216,4248
T27,1328288,12078,10719,16,9236,726445,15835,X,777,X,24198,X,15696,59279,18455,X,7375,5206,X,7688,X,X,X,35084,675,6654,19495,6,X,X,21371,20961,1619,28988,19773,3,33436,5,14673,84461,2255,10457,X,4983,21357,X,X,611,20752,469,67197,X
T28,15219230,72738,68759,190015,139083,4817776,50743,77540,140916,89595,170015,79969,53574,52942,444895,34442,137217,95497,129033,107246,117400,223626,311132,229573,456956,77829,163197,116554,35540,263821,240924,509049,46575,124530,352886,84226,839590,890,394910,1097983,65712,156520,117943,393486,744305,57456,26160,202471,362762,31388,371710,50131
T29,1625202,1,4303,1544,2220,4369,58,4854,11050,57123,10385,30030,12123,3929,36653,76725,8376,2667,4907,4545,10353,1849,295043,220347,64669,61613,81634,12341,1012,6867,4821,1949,0,1027,45172,0,47303,887,6881,20770,5883,18449,23351,8649,145016,8004,4370,63578,177337,3356,6809,0
T40,411234520,4194844,X,5357251,3012491,100079921,8171546,8445783,1741418,2299327,X,12176943,2568259,1668776,18762174,8852914,4098020,3778453,4629057,3833235,1709069,10067080,17150964,10150323,12400060,1968485,6587919,1412863,2545680,X,122622,15903287,1590271,48087389,13258890,415274,9313265,3565449,9847141,13517069,1376495,4759113,X,201900,X,4978629,860639,14917745,X,2096807,8759680,X
T41,60379023,684296,332520,514264,533915,13792519,794659,2065833,289974,642656,3114711,1271270,190484,284961,3822382,752352,535594,486421,762700,495388,252867,1301050,2946667,1142671,1711659,494811,369010,185097,423738,X,831765,3909308,202367,4296595,836415,146523,7306,302878,910929,2962361,176463,396207,46295,1697469,X,522382,149832,1247128,X,198799,1343532,X
