State,2010-11,,2011-12,,2012-13,,2013- 14,2014- 15,2015- 16,2016- 17,2017-18
Alabama,72,,75,,80,,86,89,87 ,89,90
Alaska ,68,,70,,72,,71,76,76 ,78,79
Arizona ,78,,76,,75,,76,77,80 ,78,79
Arkansas ,81,,84,,85,,87,85,87 ,88,89
California ,76,,79,,80,,81,82,83 ,83,83
Colorado ,74,,75,,77,,77,77,79 ,79,81
Connecticut ,83,,85,,86,,87,87,87 ,88,88
Delaware ,78,,80,,80,,87,86,86 ,87,87
District of Columbia ,59,,59,,62,,61,69,69 ,73,69
Florida ,71,,75,,76,,76,78,81 ,82,86
Georgia ,67,,70,,72,,73,79,79 ,81,82
Hawaii,80,,81,,82,,82,82,83 ,83,85
Idaho ,---,,---,,---,,77,79,80 ,80,81
Illinois ,84,,82,,83,,86,86,86 ,87,87
Indiana ,86,,86,,87,,88,87,87 ,84,88
Iowa ,88,,89,,90,,91,91,91 ,91,91
Kansas ,83,,85,,86,,86,86,86 ,87,87
Kentucky ,---,,---,,86,,88,88,89 ,90,90
Louisiana ,71,,72,,74,,75,78,79 ,78,81
Maine ,84,,85,,86,,87,88,87 ,87,87
Maryland ,83,,84,,85,,86,87,88 ,88,87
Massachusetts ,83,,85,,85,,86,87,88 ,88,88
Michigan ,74,,76,,77,,79,80,80 ,80,81
Minnesota ,77,,78,,80,,81,82,82 ,83,83
Mississippi ,75,,75,,76,,78,81,82 ,83,84
Missouri ,81,,84,,86,,87,88,89 ,88,89
Montana ,82,,84,,84,,85,86,86 ,86,86
Nebraska ,86,,88,,89,,90,89,89 ,89,89
Nevada ,62,,63,,71,,70,71,74 ,81,83
New Hampshire ,86,,86,,87,,88,88,88 ,89,89
New Jersey ,83,,86,,88,,89,90,90 ,91,91
New Mexico ,63,,70,,70,,69,69,71 ,71,74
New York ,77,,77,,77,,78,79,80 ,82,82
North Carolina ,78,,80,,83,,84,86,86 ,87,86
North Dakota ,86,,87,,88,,87,87,88 ,87,88
Ohio ,80,,81,,82,,82,81,84 ,84,82
Oklahoma ,---,,---,,85,,83,83,82 ,83,82
Oregon ,68,,68,,69,,72,74,75 ,77,79
Pennsylvania ,83,,84,,86,,85,85,86 ,87,86
Rhode Island ,77,,77,,80,,81,83,83 ,84,84
South Carolina ,74,,75,,78,,80,80,83 ,84,81
South Dakota ,83,,83,,83,,83,84,84 ,84,84
Tennessee ,86,,87,,86,,87,88,89 ,90,90
Texas ,86,,88,,88,,88,89,89 ,90,90
Utah ,76,,80,,83,,84,85,85 ,86,87
Vermont ,87,,88,,87,,88,88,88 ,89,85
Virginia ,82,,83,,85,,85,86,87 ,87,88
Washington ,76,,77,,76,,78,78,80 ,79,87
West Virginia ,78,,79,,81,,85,87,90 ,89,90
Wisconsin ,87,,88,,88,,89,88,88 ,89,90
Wyoming ,80,,79,,77,,79,79,80 ,86,82
