DATE,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2005-01-01,153077.8,37393.9,219879.5,87648.2,1071327.2,215960,205563.8,50938.8,84367.6,679535.2,381468.3,57270.6,46811,581768.5,239848,121176.9,102678,138726.2,190817.8,45234.2,259044.9,340824.8,392779,238951.5,79326,221303.2,29781.1,72359.4,112583.7,55528.6,433344.8,72212.4,988106,346098.6,24097.5,458210,120037.8,141541.6,494553.1,44119.4,140232.8,30308,224177.7,959728.9,90791.3,23305,351558.7,289799.4,51590.1,222355.1,25403.1
2005-04-01,155409.9,38641.2,225374.3,88484.4,1147944.3,218742,207535.4,49992.1,85216.8,688958.5,384212.1,58098.5,47564.3,584744.9,242474.5,121872.8,103523.4,141442.4,196492.3,45521.8,263052.5,343220.4,394518.2,240692.3,79874.3,223832.7,29973.5,73325.2,116954.3,56119.7,436775.6,73159.1,1002916.1,346908.1,24308.3,462923.7,122828.1,142054.1,500002.1,44977.9,141539.7,30260,225712.9,966652.1,92408.8,23288.1,358082.4,294263.7,52859.3,224122,26571.8
2005-07-01,156809.7,40259.9,232290.1,89890.7,1247734.4,222965.7,208749,50351.7,85499.3,708198.9,387649,59007.2,48645.2,592992.9,245776.9,123453.1,105108.9,144242.9,199606.8,45954.9,269494.9,348822.6,393639.7,246714.2,81143.7,226299.8,30693.6,74612.3,118096.4,56705,444137.2,73855.8,1019942.8,353288.7,24501.2,469805,126289.7,144313.7,509325.1,45284.7,143343.7,30634.6,229952.8,993026.3,95362,23560.3,365491.2,295654.5,53610.3,228348.1,27453
2005-10-01,160315.8,42859.7,235386.5,92549.3,1366166.5,223561.9,212795.6,56830.1,86313.2,712347.7,394670.2,60258.5,48811.9,597091.2,247349.6,122522.1,104554.6,146420.5,204217.2,46768.3,272668.6,351471.1,395627.7,245921.7,84554.2,228920.4,31663.6,76183.1,120589.8,57034,447717.7,75421.8,1037758.5,359053.6,24937.5,472632.9,128325.9,146458.8,515602,46150.5,145344,30937.5,232661.9,1025403.5,98650,23850.2,368236.9,303717.2,55111.1,227537.6,29448.8
2006-01-01,161732.8,42664.7,242418.5,92836,1387551.8,228594,221184.4,54220.3,87757.7,732154.4,396250.1,61015.5,50303.5,614640.8,251418.2,124824.6,110551.4,149130.5,203926.7,47253.9,275421.5,356068.2,392685.4,247968.9,83850.6,230341.8,31885.8,76197.7,124261.8,58095.2,455142.7,76645.1,1062518.8,376061.1,25434.1,472367.5,140436.4,152281.7,513983.1,46269.5,148478.3,31296.1,236210,1054437,102069.5,24289.8,375995.3,310466.5,55639.7,232585.7,30455.1
2006-04-01,163926.5,44378.4,244980.6,94824.6,1439341.7,228935.5,221181.8,55457.2,88048.5,739589.5,399879.9,61951.8,51086,620935.8,254144.4,126570.3,112182.2,151305.5,206228.7,47917.7,277675.3,360041.3,396095.6,251550.4,85808.6,233748.5,32561.3,79284.7,127134,58439.8,464970.2,77082.2,1063982.1,381939.2,26124.3,476954.5,136246.1,153378.4,522510.3,47702.9,149854.6,31732.7,240165.9,1076278.2,104708,24274.4,377940.1,313951.7,56478.1,234807.6,32051.3
2006-07-01,165313.1,45039.4,250030.6,95041.7,1530559.8,233250,222693,55287.7,89473.5,746518.2,404251,62930.5,50744.3,624946.6,256734.7,127078.8,112793,152021.8,207040.3,48108.9,280825.6,360893.9,396853.7,249640.4,86718.2,233128.7,33415.7,78292.8,127411.3,59380.7,465995.2,77642.6,1063746.1,384233.5,26363.7,479025.1,135679.8,156208.5,530417.5,48558.2,151019.6,32013.6,240645.5,1093210.2,107278.6,24372.1,379945.2,318659.8,56980.1,237140.1,33498.6
2006-10-01,166419,45745.9,255187.1,95104,1632428.7,234245.8,226597.9,54861.8,89042.2,760380.4,409623.3,63501.9,51808.1,633361.5,259554.5,129736.7,115009.5,152285.3,206356.2,48437.4,283772,369625.8,397106.3,251466.6,87880.5,234406.1,34005.4,79357.2,129226.2,61666.4,471162.7,78216.2,1084291.9,388962,26914,480455.7,135436.1,158795.9,535753.3,48208.5,153293.2,32253.9,243423,1112761.8,110056.9,24282.6,382044.3,326177.4,57214,238858.6,33818.7
2007-01-01,167130.4,46468.8,257836.6,94145.5,1752648.9,237969.5,236117.7,55813.1,91154.2,760675,407153.2,63857.1,52809.1,640067.7,261862.2,133745.6,119288.6,151691.7,203391.6,48386.1,283765.7,372568.3,404359.5,254042.3,88806.6,233924.9,35160.4,81977.8,129899.4,59886.1,471325,78490.7,1131772.5,395092.3,27712.2,486960.6,138293.9,157612.2,545323,48434.1,154806.2,34308.1,239322.6,1132439.2,111127.7,24346,387694.7,332099.1,57372.7,241589.2,34582.3
2007-04-01,169652.4,48781.9,261285.7,95605,1874851.3,243832.1,237623.7,57460.8,92494.7,765956.6,412678.8,64457.6,53373.1,645996.4,268148.3,137242.7,121787.4,153941.1,206168.9,49176.2,287900.8,377318.5,405307.7,259503.6,89800.1,239386.2,36032.6,82635.3,130293.2,61419.2,479650.4,80258.7,1103240.4,395396.2,28340.5,489797,142935.1,159928.3,552764.1,47782.3,158164,34835.4,242441.7,1174746.2,114883,24603.4,390888.8,343730.6,58462.8,243361,36210.4
