State,Jan.,Feb.,Mar.,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,
Alabama,7.8,8.4,9,9,9.8,10.1,10.2,10.4,10.7,10.9,10.5,11,9.81666666666667
Alaska,7.9,8,8.5,8,8.4,8.4,8.3,8.3,8.4,8.9,8.7,8.8,8.38333333333333
Arizona,7,7.4,7.8,7.7,8.2,8.7,9.2,9.1,9.1,9.3,8.9,9.1,8.45833333333333
Arkansas,6.4,6.6,6.5,6.5,7,7.2,7.4,7.1,7.1,7.6,7.4,7.7,7.04166666666667
California,10.1,10.5,11.2,11,11.5,11.6,11.9,12.2,12.2,12.5,12.3,12.4,11.6166666666667
Colorado,6.6,7.2,7.5,7.4,7.6,7.6,7.8,7.3,7,6.9,6.9,7.5,7.275
Connecticut,7.3,7.4,7.5,7.9,8,8,7.8,8.1,8.4,8.8,8.2,8.9,8.025
Delaware,6.7,7.4,7.7,7.5,8.1,8.4,8.2,8.1,8.3,8.7,8.5,9,8.05
D.C.,9.3,9.9,9.8,9.9,10.7,10.9,10.6,11.1,11.4,11.9,11.8,12.1,10.7833333333333
Florida,8.6,9.4,9.7,9.6,10.2,10.6,10.7,10.7,11,11.2,11.5,11.8,10.4166666666667
Georgia,8.6,9.3,9.2,9.3,9.7,10.1,10.3,10.2,10.1,10.2,10.2,10.3,9.79166666666667
Hawaii,6.1,6.5,7.1,6.9,7.4,7.4,7,7.2,7.2,7.2,7,6.9,6.99166666666667
Idaho,6.6,6.8,7,7,7.8,8.4,8.8,8.9,8.8,9,9.1,9.1,8.10833333333333
Illinois,7.9,8.6,9.1,9.4,10.1,10.3,10.4,10,10.5,11,10.9,11.1,9.94166666666667
Indiana,9.2,9.4,10,9.9,10.6,10.7,10.6,9.9,9.6,9.8,9.6,9.9,9.93333333333333
Iowa,4.8,4.9,5.2,5.1,5.8,6.2,6.5,6.8,6.7,6.7,6.7,6.6,6
Kansas,5.8,5.9,6.1,6.4,7,7,7.4,7.1,6.9,6.8,6.3,6.6,6.60833333333333
Kentucky,8.7,9.2,9.8,9.8,10.6,10.9,11,11.1,10.9,11.2,10.6,10.7,10.375
