State,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,
Alabama,11.1,11.1,11,11,10.7,10.3,9.7,9.2,8.9,8.9,9,9.1,10
Alaska,8.5,8.5,8.5,8.4,8.2,7.9,7.7,7.7,7.8,7.9,8,8.1,8.1
Arizona,9.2,9.5,9.6,9.5,9.6,9.6,9.6,9.7,9.7,9.5,9.4,9.4,9.525
Arkansas,7.6,7.7,7.8,7.8,7.7,7.5,7.4,7.5,7.7,7.8,7.9,7.9,7.69166666666667
California,12.5,12.5,12.6,12.5,12.4,12.3,12.3,12.4,12.4,12.4,12.4,12.5,12.4333333333333
Colorado,7.4,7.7,7.9,8,8,8,8,8.2,8.2,8.4,8.6,8.8,8.1
Connecticut,9,9.1,9.2,9,8.9,8.8,8.9,9.1,9.1,9.1,9,9,9.01666666666667
Delaware,8.9,9.2,9.2,9,8.8,8.5,8.4,8.4,8.4,8.3,8.4,8.5,8.66666666666667
DC,12,11.9,11.5,11,10.4,10,9.9,9.9,9.8,9.7,9.8,9.7,10.4666666666667
Florida,12,12.2,12.3,12,11.7,11.4,11.5,11.7,11.9,11.9,12,12,11.8833333333333
Georgia,10.4,10.5,10.5,10.3,10.1,10,9.9,10,10,9.9,10.1,10.2,10.1583333333333
Hawaii,6.9,6.9,6.9,6.7,6.6,6.3,6.4,6.4,6.3,6.4,6.4,6.4,6.55
Idaho,9.3,9.5,9.4,9.1,9,8.8,8.8,8.9,9,9.1,9.4,9.5,9.15
Illinois,11.3,11.4,11.5,11.2,10.8,10.4,10.3,10.1,9.9,9.8,9.6,9.3,10.4666666666667
Indiana,9.7,9.8,9.9,10,10,10.1,10.2,10.2,10.1,9.9,9.8,9.5,9.93333333333333
Iowa,6.6,6.7,6.8,6.9,6.8,6.7,6.8,6.8,6.8,6.7,6.6,6.3,6.70833333333333
Kansas,6.5,6.5,6.5,6.5,6.6,6.5,6.5,6.6,6.6,6.7,6.8,6.8,6.59166666666667
Kentucky,10.7,10.9,10.7,10.6,10.4,10,9.9,10,10.1,10,10.2,10.3,10.3166666666667
Louisiana,7.4,7.3,6.9,6.7,6.8,7,7.2,7.6,7.8,8.1,8.2,8,7.41666666666667
Maine,8.2,8.3,8.2,8.1,8,8,8.1,8,7.7,7.4,7.3,7.3,7.88333333333333
Maryland,7.5,7.7,7.7,7.5,7.3,7.1,7.1,7.3,7.5,7.4,7.4,7.4,7.40833333333333
Massachusetts,9.5,9.5,9.3,9.2,9.2,9,9,8.8,8.4,8.1,8.2,8.2,8.86666666666667
Michigan,14.3,14.1,14.1,14,13.6,13.2,13.1,13.1,13,12.8,12.4,11.7,13.2833333333333
Minnesota,7.3,7.3,7.3,7.1,7,6.8,6.9,7,7,7.1,7.1,7,7.075
Mississippi,11,11.5,11.6,11.5,11.4,11,10.8,10,9.8,9.7,9.9,10.1,10.6916666666667
Missouri,9.4,9.4,9.5,9.5,9.3,9.1,9.2,9.3,9.3,9.4,9.4,9.5,9.35833333333333
Montana,6.8,6.9,7.1,7.1,7.2,7.3,7.3,7.4,7.4,7.3,7.2,7.2,7.18333333333333
Nebraska,4.7,4.8,5,5,4.9,4.9,4.7,4.6,4.6,4.7,4.6,4.4,4.74166666666667
Nevada,13,13.2,13.4,13.7,14,14.2,14.3,14.4,14.4,14.2,14.3,14.5,13.9666666666667
New Hampshire,7,7.1,7,6.7,6.4,5.9,5.8,5.7,5.5,5.4,5.4,5.5,6.11666666666667
New Jersey,9.9,9.9,9.8,9.8,9.7,9.6,9.7,9.6,9.4,9.2,9.2,9.1,9.575
New Mexico,8.5,8.7,8.8,8.7,8.4,8.2,8.2,8.3,8.2,8.4,8.5,8.5,8.45
New York,8.8,8.8,8.6,8.4,8.3,8.2,8.2,8.3,8.3,8.3,8.3,8.2,8.39166666666667
North Carolina,11.1,11.2,11.1,10.8,10.4,10,9.8,9.7,9.6,9.6,9.7,9.8,10.2333333333333
North Dakota,4.2,4.1,4,3.8,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.8,3.80833333333333
Ohio,10.8,10.9,11,10.9,10.7,10.5,10.3,10.1,10,9.9,9.8,9.6,10.375
Oklahoma,6.7,6.8,6.6,6.6,6.7,6.8,6.9,7,6.9,6.9,6.9,6.8,6.8
Oregon,10.7,10.5,10.6,10.6,10.6,10.5,10.6,10.6,10.6,10.5,10.6,10.6,10.5833333333333
