State,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,
Alabama,7.8,7.6,7.3,7.2,7.4,7.8,8.3,8.5,8.3,8.1,7.5,7.1,7.74166666666667
Alaska,7.2,7.1,7,6.9,7,7.3,7.7,7.8,7.5,7.1,6.8,6.6,7.16666666666667
Arizona,8.7,8.7,8.6,8.2,8.2,8.2,8.3,8.3,8.2,8.1,7.8,7.9,8.26666666666667
Arkansas,7.6,7.6,7.4,7.2,7.3,7.2,7.3,7.3,7.1,7.2,7,7.1,7.275
California,10.9,10.9,11,10.9,10.8,10.7,10.7,10.6,10.2,10.1,9.8,9.8,10.5333333333333
Colorado,7.8,7.8,7.8,7.9,8.1,8.2,8.3,8.2,8,7.9,7.7,7.6,7.94166666666667
Connecticut,8,7.8,7.7,7.7,7.8,8.1,8.5,9,8.9,9,8.8,8.6,8.325
Delaware,7,7,6.9,6.8,6.8,6.7,6.8,6.9,6.8,6.8,6.7,6.9,6.84166666666667
D.C.,9.9,9.9,9.8,9.5,9.3,9.1,8.9,8.8,8.7,8.5,8.4,8.5,9.10833333333333
Florida,9.6,9.4,9,8.7,8.6,8.6,8.8,8.8,8.7,8.5,8.1,8,8.73333333333333
Georgia,9.2,9.1,9,8.9,8.9,9,9.3,9.2,9,8.7,8.5,8.6,8.95
Hawaii,6.5,6.4,6.4,6.3,6.3,6.4,6.4,6.1,5.7,5.5,5.3,5.2,6.04166666666667
Idaho,8.1,8,7.9,7.7,7.8,7.7,7.5,7.4,7.1,7,6.8,6.6,7.46666666666667
Illinois,9.4,9.1,8.8,8.7,8.6,8.7,8.9,9.1,8.8,8.8,8.7,8.7,8.85833333333333
Indiana,8.7,8.4,8.2,7.9,7.9,8,8.2,8.3,8.2,8,8,8.2,8.16666666666667
Iowa,5.4,5.3,5.2,5.1,5.1,5.2,5.3,5.5,5.2,5.1,4.9,4.9,5.18333333333333
Kansas,6.1,6.1,6.2,6.1,6.1,6.1,6.3,6.2,5.9,5.7,5.4,5.4,5.96666666666667
Kentucky,8.8,8.7,8.6,8.3,8.2,8.2,8.3,8.5,8.4,8.4,8.2,8.1,8.39166666666667
Louisiana,6.9,7,7.1,7.1,7.2,7.5,7.6,7.4,7,6.6,5.8,5.5,6.89166666666667
Maine,7,7.1,7.2,7.2,7.4,7.5,7.6,7.6,7.6,7.4,7.2,7.3,7.34166666666667
Maryland,6.5,6.5,6.6,6.7,6.8,6.9,7,7.1,6.9,6.7,6.6,6.6,6.74166666666667
Massachusetts,6.9,6.9,6.5,6.3,6,6,6.1,6.3,6.5,6.6,6.6,6.7,6.45
Michigan,9,8.8,8.5,8.3,8.5,8.6,9,9.4,9.3,9.1,8.9,8.9,8.85833333333333
Minnesota,5.6,5.7,5.8,5.6,5.6,5.6,5.8,5.9,5.8,5.8,5.7,5.5,5.7
Mississippi,9.9,9.5,9,8.7,8.7,8.8,9.1,9.1,9.2,8.9,8.5,8.6,9
Missouri,7.5,7.4,7.4,7.3,7.3,7.1,7.2,7.2,6.9,6.9,6.7,6.7,7.13333333333333
Montana,6.5,6.2,6.2,6.1,6.3,6.3,6.4,6.3,6.1,6,5.8,5.7,6.15833333333333
Nebraska,4,4,4,3.9,3.9,3.8,4,4,3.9,3.8,3.7,3.7,3.89166666666667
Nevada,12.7,12.3,12,11.7,11.6,11.6,12,12.1,11.8,11.5,10.8,10.2,11.6916666666667
New Hampshire,5.2,5.2,5.2,5,5,5.1,5.4,5.7,5.7,5.7,5.6,5.7,5.375
New Jersey,9,9,9,9.1,9.2,9.6,9.8,9.9,9.8,9.7,9.6,9.6,9.44166666666667
New Mexico,7,7.2,7.2,6.9,6.7,6.5,6.6,6.5,6.4,6.3,6.2,6.4,6.65833333333333
New York,8.3,8.5,8.5,8.5,8.6,8.9,9.1,9.1,8.9,8.7,8.3,8.2,8.63333333333333
North Carolina,10.2,9.9,9.7,9.4,9.4,9.4,9.6,9.7,9.6,9.3,9.1,9.2,9.54166666666667
North Dakota,3.2,3.1,3,3,3,2.9,3,3,3,3.1,3.1,3.2,3.05
Ohio,7.7,7.6,7.5,7.4,7.3,7.2,7.2,7.2,7,6.9,6.8,6.7,7.20833333333333
Oklahoma,6.1,6,5.4,5,4.8,4.7,4.9,5.1,5.2,5.3,5.2,5.1,5.23333333333333
Oregon,8.8,8.8,8.6,8.5,8.4,8.5,8.7,8.9,8.7,8.6,8.4,8.4,8.60833333333333
Pennsylvania,7.6,7.6,7.5,7.4,7.4,7.5,7.9,8.1,8.2,8.1,7.8,7.9,7.75
Rhode Island,10.9,11,11.1,11.2,11,10.9,10.8,10.7,10.5,10.4,10.4,10.2,10.7583333333333
South Carolina,9.3,9.1,8.9,8.8,9.1,9.4,9.6,9.6,9.1,8.6,8.3,8.4,9.01666666666667
South Dakota,4.2,4.3,4.3,4.3,4.3,4.3,4.4,4.5,4.4,4.5,4.4,4.4,4.35833333333333
Tennessee,8.2,8,7.9,7.8,7.9,8.1,8.4,8.5,8.3,8.2,7.6,7.6,8.04166666666667
Texas,7.3,7.1,7,6.9,6.9,7,7.2,7.1,6.8,6.6,6.2,6.1,6.85
Utah,5.7,5.7,5.8,6,6,6,6,5.8,5.4,5.2,5.1,5.2,5.65833333333333
Vermont,5,4.9,4.8,4.6,4.6,4.7,5,5.3,5.4,5.5,5.2,5.1,5.00833333333333
Virginia,5.8,5.7,5.6,5.6,5.6,5.7,5.9,5.9,5.9,5.7,5.6,5.5,5.70833333333333
Washington,8.3,8.2,8.3,8.1,8.3,8.3,8.5,8.6,8.5,8.2,7.8,7.6,8.225
West Virginia,7.4,7.2,6.9,6.7,6.9,7,7.4,7.5,7.6,7.5,7.3,7.5,7.24166666666667
Wisconsin,6.9,6.9,6.8,6.7,6.8,7,7.3,7.5,7.3,6.9,6.7,6.6,6.95
Wyoming,5.5,5.4,5.3,5.3,5.2,5.4,5.6,5.7,5.4,5.2,5.1,4.9,5.33333333333333
